"Demographic data (total population, age groups and race/ethnicity) by census tract were extracted from the 2019 American Community Survey.",,,,,,,,,,,,,,
Census Tract,CES 4.0 Score,CES 4.0 Percentile,CES 4.0 Percentile Range,California County,Total Population,Children < 10 years (%),Pop 10-64 years (%),Elderly > 64 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other/Multiple (%)
6037271400,13.99,23.05,20-25%,Los Angeles,3743,16.22,59.95,23.83,10.98,70.61,1.23,0,11.68,5.5
6037271500,8.71,9.96,5-10%,Los Angeles,3187,11.23,65.36,23.41,11.04,66.93,3.29,0.5,14.4,3.83
6037271600,20.29,38.17,35-40%,Los Angeles,4811,14.88,76.05,9.06,14.01,45.96,4.12,0.29,29.14,6.49
6037271701,20.52,38.84,35-40%,Los Angeles,5694,10.96,75.13,13.91,12.14,45.31,13.05,0.37,25.94,3.2
6037271702,21.38,40.82,40-45%,Los Angeles,3918,15.19,78.1,6.71,17.3,34.84,5.13,1.84,36.75,4.13
6037271801,25.42,49.75,45-50%,Los Angeles,3071,5.44,83.46,11.1,28.13,34.61,6.38,0,27.97,2.9
6037271802,18.84,34.82,30-35%,Los Angeles,5644,5.72,84.36,9.92,28.19,40.59,4.61,0,24.01,2.6
6037271901,23.90,46.53,45-50%,Los Angeles,3245,4.22,82.34,13.44,28.54,39.69,8.51,0,18.71,4.56
6037271902,15.84,27.43,25-30%,Los Angeles,4207,7.87,78.3,13.83,33.35,43.97,6.73,0.5,10.32,5.13
6037272100,16.86,30.12,30-35%,Los Angeles,4578,12.06,74.12,13.83,28.4,58.34,0.92,0.48,6.06,5.81
6037272201,22.98,44.44,40-45%,Los Angeles,2390,4.06,87.24,8.7,40.13,45.31,2.13,0,10.42,2.01
6037272202,25.13,49.02,45-50%,Los Angeles,3359,9.44,81.36,9.2,41.26,35.87,4.85,0.39,10.06,7.56
6037272301,30.00,58.66,55-60%,Los Angeles,3045,7.72,74.65,17.64,28.08,47.55,2.5,0.33,14.45,7.09
6037272302,23.70,45.94,45-50%,Los Angeles,4457,7.52,81.04,11.44,48.89,35.23,3.79,0,9.94,2.15
6037273100,19.55,36.32,35-40%,Los Angeles,2742,11.05,76.15,12.8,20.31,67.25,2.26,0.18,7.8,2.19
6037273200,26.06,51.06,50-55%,Los Angeles,3229,7.09,82.13,10.78,34.65,53.08,6.53,0.5,2.23,3
6037273300,23.31,45.18,45-50%,Los Angeles,2915,5.59,84.12,10.29,24.87,55.06,14.34,0,2.4,3.33
6037273402,17.78,32.19,30-35%,Los Angeles,2641,4.35,78.38,17.27,13.78,79.02,5.94,0,0.19,1.06
6037273502,18.26,33.38,30-35%,Los Angeles,2861,7.44,82.8,9.75,11.46,76.69,6.08,0.63,2.03,3.11
6037273600,18.22,33.32,30-35%,Los Angeles,2375,7.33,77.31,15.37,15.2,79.49,1.77,0,1.43,2.11
6037273700,12.10,18.20,15-20%,Los Angeles,2895,8.84,80.73,10.43,23.42,62.87,5.35,0,3.18,5.18
6037273800,13.55,21.82,20-25%,Los Angeles,2872,7.45,79.77,12.78,22.25,62.4,3.45,0.38,8.15,3.38
6037273902,20.56,38.96,35-40%,Los Angeles,4221,8.93,71.64,19.43,10.87,78.51,1.8,0,3.84,4.98
6037274100,22.26,42.66,40-45%,Los Angeles,4838,12.65,74.33,13.02,5.37,63.08,14.39,0,9.8,7.36
6037274202,17.68,31.98,30-35%,Los Angeles,4284,6.98,70.19,22.83,9.99,75.63,1.56,0,8.22,4.6
6037275101,27.54,54.00,50-55%,Los Angeles,1161,7.24,76.57,16.19,25.67,40.31,2.07,0,26.79,5.17
6037275102,35.70,68.72,65-70%,Los Angeles,4338,12.54,80.57,6.89,69.82,18.28,5.53,0,4.01,2.35
6037275200,35.74,68.76,65-70%,Los Angeles,3751,7.62,78.78,13.6,37.99,35.62,7.17,0.56,13.3,5.36
6037275302,25.06,48.84,45-50%,Los Angeles,5059,7.35,70.25,22.4,7.89,67.01,4.29,0,15.44,5.38
6037275311,19.37,35.89,35-40%,Los Angeles,5462,9.81,69.94,20.25,29.46,42.75,4.21,0,19.24,4.34
6037275400,16.49,29.06,25-30%,Los Angeles,4069,6.98,80.29,12.73,12.98,64.86,2.46,0,15.09,4.62
6037275500,30.89,60.45,60-65%,Los Angeles,5449,13.47,71.81,14.72,64.09,18.08,6.9,0,8.33,2.61
6037275602,19.26,35.77,35-40%,Los Angeles,12100,16.87,74.74,8.39,13.64,52.65,6.57,0,23.16,3.98
6037275603,29.19,57.25,55-60%,Los Angeles,2537,11.31,68.74,19.94,24.08,42.85,2.68,0,25.54,4.85
6037276000,13.57,21.89,20-25%,Los Angeles,5657,9.03,72.92,18.05,25.17,51.62,6.36,0.99,12.52,3.34
6037276100,22.44,43.15,40-45%,Los Angeles,5739,10.47,80.45,9.08,17.88,22.16,35.15,0,17.65,7.16
6037276400,11.39,16.35,15-20%,Los Angeles,4071,10.83,64.55,24.61,15.43,70.89,2.43,0,7.76,3.49
6037276500,19.30,35.80,35-40%,Los Angeles,5674,2.98,91.54,5.48,16.85,54.41,6.71,0.21,15.58,6.24
6037276601,11.66,16.98,15-20%,Los Angeles,4115,9.02,72.52,18.47,9.33,64.45,5.44,0,13.27,7.51
6037276603,13.65,22.09,20-25%,Los Angeles,5489,4.34,81.69,13.97,11.46,60.94,10.6,0.49,12.88,3.63
6037276604,14.47,24.23,20-25%,Los Angeles,4624,7.48,82.4,10.12,16.46,50.11,7.63,0,19.51,6.29
6037277000,15.73,27.18,25-30%,Los Angeles,5566,12.47,68.24,19.3,10.65,66.78,3.79,1.22,13.33,4.22
6037277100,22.11,42.39,40-45%,Los Angeles,3100,8.87,74.9,16.23,19.26,52.03,1.81,0,13.87,13.03
6037277200,42.65,78.91,75-80%,Los Angeles,2196,7.83,83.97,8.2,34.79,22.91,27.5,0,9.79,5.01
6037277400,46.69,84.04,80-85%,Los Angeles,909,19.25,76.57,4.18,32.23,5.28,47.96,0,6.6,7.92
6037278001,19.25,35.72,35-40%,Los Angeles,2508,13.64,74.36,12,29.74,46.37,4.23,0,14.39,5.26
6037278102,9.91,12.70,10-15%,Los Angeles,3088,4.92,76.23,18.85,13.02,75.32,1,0,6.93,3.72
6037291110,66.54,98.27,95-100% (highest scores),Los Angeles,4391,18.01,71.03,10.95,51.04,1.09,47.19,0.3,0,0.39
6037291120,58.13,94.58,90-95%,Los Angeles,2407,13.38,78.98,7.64,64.6,1.29,32.95,0,1.16,0
6037291130,63.50,97.28,95-100% (highest scores),Los Angeles,3626,12.93,76.56,10.51,66.82,3.39,17.65,0,9.9,2.23
6037291210,74.44,99.61,95-100% (highest scores),Los Angeles,5768,15.36,73.47,11.17,65.41,7.06,9.71,0.26,16.89,0.68
6037291220,77.25,99.86,95-100% (highest scores),Los Angeles,3640,12.77,73.16,14.07,69.34,3.98,8.43,0,16.32,1.92
6037291300,53.29,91.12,90-95%,Los Angeles,3037,8.5,68.88,22.62,24.63,14.72,9.52,0.23,43.82,7.08
6037292000,67.09,98.46,95-100% (highest scores),Los Angeles,6567,14.45,76.08,9.47,55.41,7.54,10.67,0,17.89,8.48
6037293201,47.97,85.43,85-90%,Los Angeles,6289,12.48,73.68,13.83,53.35,15.04,5.96,0,23.52,2.13
6037293202,52.84,90.77,90-95%,Los Angeles,6740,18.87,75.82,5.31,70.68,4.84,7.76,0,14.97,1.75
6037293301,27.01,53.01,50-55%,Los Angeles,3108,7.56,70.17,22.27,13.96,28.22,1.35,0,49.23,7.24
6037293302,41.90,77.87,75-80%,Los Angeles,5082,14.74,71.76,13.5,30.4,25.52,13.75,0,28.53,1.79
6037293304,42.42,78.57,75-80%,Los Angeles,4832,14.67,76.72,8.61,68.07,11.05,6.79,0,11.03,3.06
6037293306,24.20,47.13,45-50%,Los Angeles,2436,11.9,71.59,16.5,44.62,34.28,5.05,0,13.05,3
6037293307,42.37,78.54,75-80%,Los Angeles,2284,10.25,80.65,9.11,60.6,11.34,8.01,0,17.34,2.71
6037294110,51.84,89.84,85-90%,Los Angeles,4129,17.05,70.94,12.01,84.72,9.52,0,0,3.51,2.25
6037294120,62.66,96.89,95-100% (highest scores),Los Angeles,2687,19.87,73.35,6.77,92.52,2.05,3.24,0,1.86,0.33
6037294200,42.18,78.28,75-80%,Los Angeles,4874,13.01,73.1,13.89,87.63,5.35,2.46,0.39,3.88,0.29
6037294301,40.80,76.31,75-80%,Los Angeles,2471,10.68,71.27,18.05,82.03,5.63,1.38,0,10.32,0.65
6037294302,53.28,91.11,90-95%,Los Angeles,4382,11.68,77.32,11,86.06,6.48,4.36,0.3,1.9,0.91
6037294410,45.77,82.96,80-85%,Los Angeles,5079,15.53,76.41,8.05,38.35,8.53,24.77,0,27.05,1.3
6037294421,55.86,93.13,90-95%,Los Angeles,2891,14.42,74.54,11.03,74.06,8.27,4.6,0,11.48,1.59
6037294510,47.74,85.17,85-90%,Los Angeles,5082,19.46,73.95,6.59,97.56,1.93,0.2,0,0.16,0.16
6037294520,47.16,84.63,80-85%,Los Angeles,3710,17.84,74.96,7.2,93.42,3.53,2.16,0.24,0.65,0
6037294610,45.55,82.65,80-85%,Los Angeles,4334,22.08,66.27,11.65,90.26,3.35,1.04,0,5.35,0
6037294620,53.14,90.96,90-95%,Los Angeles,4683,12.81,75.81,11.38,93.23,3.33,1.54,0,1.43,0.47
6037294701,71.29,99.27,95-100% (highest scores),Los Angeles,3099,17.59,73.7,8.71,90.29,2.78,4.9,0,0.58,1.45
6037294810,52.91,90.80,90-95%,Los Angeles,4278,17.81,78.17,4.02,90.79,2.45,2.52,0,3.39,0.84
6037294820,58.86,95.02,95-100% (highest scores),Los Angeles,3473,20.79,72.79,6.42,96.69,0.75,0.89,0,1.67,0
6037294830,64.76,97.73,95-100% (highest scores),Los Angeles,4134,15.41,78.59,6,93.54,0.77,3.41,0,0.8,1.48
6037294900,61.64,96.47,95-100% (highest scores),Los Angeles,3853,18.25,71.87,9.89,87.65,3.61,3.24,0,3.43,2.08
6037295103,24.04,46.81,45-50%,Los Angeles,5188,10.47,67.85,21.68,29.57,46.99,4.12,0.29,16.79,2.24
6037296210,70.53,99.19,95-100% (highest scores),Los Angeles,3132,19.32,72.38,8.3,87.04,5.91,6,0,0.32,0.73
6037296220,54.01,91.68,90-95%,Los Angeles,4447,12.08,73.71,14.21,65.26,9.26,12.77,0,9.96,2.74
6037296300,32.82,63.69,60-65%,Los Angeles,5027,12.21,72.17,15.62,23.29,41.42,9.11,0,24.77,1.41
6037296401,13.20,20.89,20-25%,Los Angeles,3229,7.06,69.25,23.69,24.25,54.54,5.2,0,11.4,4.61
6037296402,17.91,32.49,30-35%,Los Angeles,3312,13.35,70.77,15.88,53.89,35.36,2.99,0,7.73,0.03
6037296500,58.36,94.69,90-95%,Los Angeles,3447,12.21,73.05,14.74,71.16,9.31,11.55,0.29,4.35,3.34
6037296600,49.96,87.82,85-90%,Los Angeles,5358,17.88,69.78,12.34,75.49,14.84,5.84,0.09,2.15,1.59
6037296901,36.75,70.20,70-75%,Los Angeles,4466,18.23,76.2,5.58,63.99,18.52,9.23,0.18,3.83,4.25
6037296902,38.33,72.69,70-75%,Los Angeles,4219,12.44,75.14,12.42,59.61,29.22,3.93,0.36,2.39,4.48
6037297000,16.87,30.13,30-35%,Los Angeles,5597,10.85,71.79,17.37,37.07,46.92,4.81,0,4.97,6.24
6037297110,62.39,96.71,95-100% (highest scores),Los Angeles,4649,10.97,79.39,9.64,64.27,16.3,11.08,0,5.79,2.56
6037297120,50.37,88.30,85-90%,Los Angeles,3053,11.66,74.19,14.15,67.87,17.13,5.6,0,9.4,0
6037297201,34.48,66.63,65-70%,Los Angeles,4505,21.09,70.39,8.52,64.2,18.82,7.26,0.49,5.42,3.82
6037297202,21.38,40.81,40-45%,Los Angeles,3786,13.34,72.87,13.79,47.31,47.68,2.03,0,1.88,1.11
6037297300,18.27,33.41,30-35%,Los Angeles,2193,20.66,62.06,17.28,30.6,52.85,6.11,0,5.52,4.92
6037297400,17.38,31.22,30-35%,Los Angeles,3356,4.05,62.43,33.52,22.88,67.28,2.41,0,5.07,2.35
6037297500,26.39,51.61,50-55%,Los Angeles,4707,4.97,73.34,21.69,32.12,56.04,3.08,0,4.82,3.93
6037297601,34.75,67.17,65-70%,Los Angeles,2816,18.22,70.45,11.33,33.63,42.12,7.67,0.28,3.3,13
6037297602,30.09,58.84,55-60%,Los Angeles,3687,9.25,71.71,19.04,38.7,44.29,3.39,0.24,9.49,3.88
6037300100,8.45,9.56,5-10%,Los Angeles,6014,11.71,68.76,19.54,11.67,57.91,0.32,0,27,3.09
6037300200,18.25,33.36,30-35%,Los Angeles,5352,9.94,74.42,15.64,9.94,51.25,0.71,0.26,35.56,2.28
6037300301,12.07,18.15,15-20%,Los Angeles,6024,9.38,70.83,19.79,8.25,64.24,0.35,0,21.56,5.59
6037300400,28.48,55.87,55-60%,Los Angeles,5986,10.57,75.06,14.37,17.52,54.09,0.02,0,22.95,5.41
6037300501,17.95,32.55,30-35%,Los Angeles,3264,13.6,68.29,18.11,15.17,45.99,0,0,25.03,13.82
6037300502,24.25,47.31,45-50%,Los Angeles,5874,9.09,76.78,14.13,28.09,43.51,0.02,0,25.61,2.77
6037300600,20.52,38.83,35-40%,Los Angeles,9609,7.75,76.25,16,16.97,48.82,1.25,0,31.43,1.53
6037300701,16.72,29.69,25-30%,Los Angeles,5835,10.78,70.51,18.71,8.6,74.55,0.99,0,11.36,4.49
6037300702,9.67,12.19,10-15%,Los Angeles,5430,10.22,69.8,19.98,4.84,84.03,0,0,7.88,3.24
6037300800,21.37,40.76,40-45%,Los Angeles,7280,10.07,75.44,14.49,12.94,56.13,0.58,0.16,22.39,7.8
6037300901,12.26,18.66,15-20%,Los Angeles,6540,14.45,66.67,18.88,4.4,65.37,0.73,0,23.93,5.57
6037300902,27.15,53.34,50-55%,Los Angeles,1981,10.75,66.48,22.77,15.6,65.27,0,0,14.79,4.34
6037301000,31.45,61.37,60-65%,Los Angeles,5230,11.45,72.35,16.2,18.3,57.27,1.8,0,15.39,7.25
6037301100,25.24,49.34,45-50%,Los Angeles,7114,8.34,73.69,17.98,10.94,73.56,1.22,0,10.16,4.12
6037301203,30.41,59.52,55-60%,Los Angeles,4711,6.58,69.05,24.37,14.99,65.4,3.14,0,13.12,3.35
6037301204,35.43,68.29,65-70%,Los Angeles,5284,9.35,73.41,17.24,16.01,59.9,7.68,0,16.03,0.38
6037301205,21.07,40.10,40-45%,Los Angeles,2106,9.54,69.94,20.51,11.49,72.7,1.38,0,11.63,2.8
6037301206,39.44,74.03,70-75%,Los Angeles,5281,8.63,73.77,17.59,8.16,74.06,3.03,0,13.61,1.14
6037301300,26.48,51.92,50-55%,Los Angeles,1894,13.94,60.82,25.24,7.81,84.27,0,0,7.6,0.32
6037301400,22.19,42.55,40-45%,Los Angeles,4190,10.91,72.22,16.87,6.47,81.1,0.17,2.53,5.49,4.25
6037301501,25.95,50.88,50-55%,Los Angeles,1790,7.54,70.06,22.4,12.12,76.26,0.28,0,10.45,0.89
6037301502,46.58,83.93,80-85%,Los Angeles,6750,7.54,75.5,16.96,11.57,78.9,0,0,8.31,1.21
6037301601,66.08,98.11,95-100% (highest scores),Los Angeles,6112,6.27,72.28,21.45,21.94,69.04,3.11,0,4.22,1.69
6037301602,55.99,93.27,90-95%,Los Angeles,4446,10.8,77.62,11.58,40.37,41.84,3.08,0,12.28,2.43
6037301701,49.53,87.39,85-90%,Los Angeles,2962,8.41,72.28,19.31,30.42,49.19,4.09,0,12.9,3.41
6037301702,57.75,94.38,90-95%,Los Angeles,5835,11.93,73.13,14.94,14.1,64.9,2.19,1.32,15.41,2.07
6037301801,47.98,85.44,85-90%,Los Angeles,5258,11.07,75.6,13.33,21.09,46.9,1.24,0,25.03,5.74
6037301802,42.49,78.67,75-80%,Los Angeles,4516,7.71,78.7,13.6,12.05,63.8,1.79,0,19,3.37
6037301900,41.74,77.70,75-80%,Los Angeles,8192,10.91,69.21,19.87,14.75,60.91,1.48,0,21.46,1.4
6037302002,47.67,85.11,85-90%,Los Angeles,3949,11.24,69.87,18.89,12.43,64.09,3.09,0,18.06,2.33
6037302003,39.01,73.47,70-75%,Los Angeles,3665,8.29,74.54,17.16,10.56,67.89,0.82,0,18.07,2.67
6037302004,41.78,77.77,75-80%,Los Angeles,4151,8.99,73.04,17.97,18.53,57.79,2.6,0,19.01,2.07
6037302102,34.46,66.60,65-70%,Los Angeles,5946,8.54,72.55,18.9,15.22,59.2,2.94,0,21.81,0.82
6037302103,42.32,78.48,75-80%,Los Angeles,5430,9.06,72.14,18.8,14.64,68.86,0.88,0,14.42,1.2
6037302104,49.20,87.04,85-90%,Los Angeles,4288,10.59,73.27,16.14,21.48,44.36,2.94,0,29.06,2.17
6037302201,42.23,78.35,75-80%,Los Angeles,4019,7.66,67.55,24.78,9.68,76.81,2.44,0,8.73,2.34
6037302202,50.88,88.72,85-90%,Los Angeles,5510,9.49,72.7,17.8,25.66,57.17,1.34,0,14.08,1.74
6037302301,51.22,89.11,85-90%,Los Angeles,3985,10.94,71.12,17.94,21.66,60,0.75,0.15,15.71,1.73
6037302302,66.71,98.34,95-100% (highest scores),Los Angeles,5337,10.34,74.97,14.69,45.53,36.69,1.76,0,15.08,0.94
6037302401,68.86,98.85,95-100% (highest scores),Los Angeles,7395,11.32,74.44,14.24,33.23,50.95,2.66,0,12.59,0.57
6037302503,51.92,89.94,85-90%,Los Angeles,4290,10.42,73.1,16.48,21.93,61.98,0,0,14.99,1.1
6037302504,53.23,91.06,90-95%,Los Angeles,4273,8.35,77.63,14.02,30.7,54.08,0.84,0,11.96,2.41
6037302505,60.76,96.17,95-100% (highest scores),Los Angeles,4376,11.77,71.46,16.77,33.16,51.81,5.46,0,8.52,1.05
6037302506,51.24,89.15,85-90%,Los Angeles,3262,8.71,72.32,18.98,27.81,53.8,1.81,0,11.87,4.72
6037310100,16.60,29.31,25-30%,Los Angeles,5644,10.86,72.27,16.87,16.97,66.12,4.96,0,10.17,1.77
6037310201,24.59,47.93,45-50%,Los Angeles,5732,8.46,74.7,16.84,12.61,73.94,0.7,0,7.83,4.92
6037310202,28.01,54.98,50-55%,Los Angeles,5104,9.62,74.63,15.75,13.21,72.81,2.53,0.72,5.17,5.56
6037310300,17.74,32.11,30-35%,Los Angeles,2881,13.85,66.61,19.54,12.84,67.41,0,0,15.76,3.99
6037310400,35.62,68.60,65-70%,Los Angeles,3247,11.24,71.02,17.74,16.82,62.64,1.26,0.83,12.44,6.01
6037310501,54.17,91.77,90-95%,Los Angeles,4066,13.58,77.27,9.15,47.79,27.77,6.94,0.96,15.27,1.28
6037310601,51.25,89.16,85-90%,Los Angeles,6383,13.76,73.38,12.86,23.83,46.42,4.72,0,15.26,9.78
6037310602,23.41,45.40,45-50%,Los Angeles,2853,13.99,73.43,12.58,19.21,56.08,1.93,0.25,18.37,4.17
6037310701,41.19,76.90,75-80%,Los Angeles,2181,6.97,60.43,32.6,11.33,75.65,0.05,0,8.02,4.95
6037310702,41.55,77.40,75-80%,Los Angeles,6567,3.58,72.96,23.47,13.2,63.39,2.48,0,15.96,4.96
6037310703,53.79,91.50,90-95%,Los Angeles,4793,11.48,73.21,15.31,20.76,64.05,2.63,0,6.84,5.72
6037310800,32.49,63.30,60-65%,Los Angeles,5314,10.59,73.88,15.53,30.39,53.88,1.09,0.58,10.3,3.76
6037310900,31.22,61.08,60-65%,Los Angeles,6071,9.9,74.95,15.15,24.77,53.91,1.25,0.23,16.55,3.28
6037311000,32.26,62.86,60-65%,Los Angeles,3641,13.4,74.02,12.58,32.35,50.92,2.72,0,10.71,3.3
6037311100,30.30,59.29,55-60%,Los Angeles,4183,12.19,68.87,18.93,29,48.2,0.65,2.87,15.54,3.75
6037311200,20.19,37.97,35-40%,Los Angeles,3171,8.33,75.15,16.52,25.86,56.01,3.88,0,7.79,6.46
6037311300,23.13,44.83,40-45%,Los Angeles,3896,12.63,72.43,14.94,28.29,53.31,2.85,0.21,11.78,3.57
6037311400,23.64,45.71,45-50%,Los Angeles,2300,8.48,73.78,17.74,16.83,68.43,1.26,0,10.13,3.35
6037311500,23.48,45.54,45-50%,Los Angeles,5828,15.56,74.35,10.09,24.62,57.31,3.5,0.81,11.24,2.52
6037311600,34.42,66.55,65-70%,Los Angeles,6707,7.86,81.06,11.08,12.33,58.28,6.47,0,13.43,9.48
6037311700,26.22,51.35,50-55%,Los Angeles,6200,7.55,72.92,19.53,21.5,64.97,1.5,1,8.32,2.71
6037311801,42.14,78.25,75-80%,Los Angeles,2873,12.63,78,9.36,45.32,37.63,3.2,0.7,11.42,1.74
6037311802,47.13,84.58,80-85%,Los Angeles,4068,10.13,82.89,6.98,55.31,24.56,1.5,0.93,14.45,3.24
6037320000,NA,NA,NA,Los Angeles,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6037320100,40.10,75.08,75-80%,Los Angeles,7601,10.58,78.74,10.68,91.17,4.41,1.82,0,2.5,0.11
6037320201,51.57,89.52,85-90%,Los Angeles,4049,15.63,74.96,9.41,95.73,3.63,0,0,0,0.64
6037320202,41.35,77.18,75-80%,Los Angeles,6151,15.02,72.96,12.01,91.59,6.57,0.18,0,1.56,0.1
6037320300,47.23,84.68,80-85%,Los Angeles,6734,13.23,75.5,11.27,95.32,1.84,0.42,1.83,0.59,0
6037400204,13.95,22.86,20-25%,Los Angeles,5637,6.3,71.31,22.39,21.96,59.62,0.99,0.44,14.69,2.29
6037400205,10.85,15.10,15-20%,Los Angeles,2846,5.27,71.54,23.19,10.51,48.91,5.97,0,29.62,4.99
6037400206,17.21,30.82,30-35%,Los Angeles,5365,8.57,69.32,22.11,21.99,52.02,2.29,0,19.72,3.97
6037400207,18.30,33.47,30-35%,Los Angeles,4608,8.31,71.59,20.1,25.93,56.21,4.06,0,12.57,1.24
6037400302,36.75,70.25,70-75%,Los Angeles,3154,15.25,65.28,19.47,37.67,43.82,4.19,0,12.33,2
6037400304,19.19,35.62,35-40%,Los Angeles,7788,12.72,73.25,14.02,38.74,37.89,1.31,1.32,18.41,2.32
6037400402,17.16,30.67,30-35%,Los Angeles,4305,13.1,71.22,15.68,29.01,53.77,1.11,0,11.45,4.65
6037400403,17.61,31.86,30-35%,Los Angeles,3906,8.24,74.91,16.85,35.2,50.18,1.82,0.49,9.17,3.15
6037400404,11.81,17.33,15-20%,Los Angeles,4268,6.12,72.42,21.46,19.24,61.9,0,0,13.55,5.32
6037400501,14.58,24.51,20-25%,Los Angeles,2049,9.71,67.3,22.99,10.3,69.64,0.24,0,14.44,5.37
6037400602,32.64,63.50,60-65%,Los Angeles,4250,13.39,74.33,12.28,68.14,20.73,2.09,0.35,7.79,0.89
6037400603,28.62,56.14,55-60%,Los Angeles,5201,11.44,77.22,11.34,53.11,27.46,4.13,0,12.06,3.25
6037400604,26.54,52.07,50-55%,Los Angeles,3501,15.14,73.21,11.65,43.47,27.05,4,0.29,23.28,1.91
6037400800,23.35,45.32,45-50%,Los Angeles,6967,5.24,86.41,8.35,20.97,47.61,4.84,0.13,22.72,3.73
6037400900,21.72,41.59,40-45%,Los Angeles,4424,11.03,72.92,16.05,37.07,45.93,0.97,0,13.36,2.67
6037401001,11.35,16.25,15-20%,Los Angeles,3062,11.27,72.27,16.46,21.39,65.41,0.2,0,9.54,3.46
6037401002,23.27,45.08,45-50%,Los Angeles,3678,14.49,68.16,17.35,20.01,58.86,2.94,0,11.61,6.58
6037401101,28.35,55.57,55-60%,Los Angeles,5582,13.47,71.62,14.91,43.05,39.38,3.42,0.7,9.75,3.71
6037401102,32.15,62.68,60-65%,Los Angeles,3896,17.99,70.28,11.73,36.91,39.12,0.69,0,17.2,6.08
6037401201,24.35,47.48,45-50%,Los Angeles,3377,17.32,69.11,13.56,33.08,52.8,0.68,0,9.39,4.06
6037401202,23.24,44.99,40-45%,Los Angeles,4706,10.24,75.12,14.64,41.03,41.01,0.38,1.25,12.64,3.68
6037401203,29.25,57.38,55-60%,Los Angeles,5224,10.47,72.19,17.34,45.39,38.23,1.95,0.21,11.01,3.22
6037401303,22.19,42.51,40-45%,Los Angeles,2074,5.01,76.18,18.8,29.94,44.55,1.06,0.29,23.14,1.01
6037401304,17.18,30.75,30-35%,Los Angeles,5449,6.7,71.87,21.44,26.17,49.07,2.75,0,15.54,6.46
6037401311,25.25,49.37,45-50%,Los Angeles,6120,14.4,70.15,15.46,34,53.61,0.77,0,8.89,2.73
6037401312,29.27,57.40,55-60%,Los Angeles,5401,8,66.27,25.74,36.92,45.23,2.3,0,12.16,3.39
6037401500,36.71,70.12,70-75%,Los Angeles,6213,10.03,77.11,12.86,46.21,42.88,2.22,0.13,6.71,1.85
6037401601,25.78,50.54,50-55%,Los Angeles,5368,10.1,61.57,28.33,34.93,51.27,1.7,0.41,9.91,1.79
6037401602,28.58,56.05,55-60%,Los Angeles,6294,14.81,74.18,11.01,45.22,42.88,4.51,0,4.91,2.48
6037401603,32.25,62.83,60-65%,Los Angeles,2951,9.83,54.42,35.75,35.68,53.51,4.13,0,5.39,1.29
6037401701,24.14,47.05,45-50%,Los Angeles,4488,9.05,65.37,25.58,28.05,45.9,6.71,2.23,10.38,6.73
6037401703,38.37,72.76,70-75%,Los Angeles,4107,9.3,76.45,14.24,48.11,29.53,7.94,0,10.66,3.75
6037401704,44.03,80.89,80-85%,Los Angeles,7108,13.65,71.23,15.12,60.03,18.77,5.15,1.27,12.39,2.39
6037401800,27.43,53.83,50-55%,Los Angeles,7927,9.17,70.83,19.99,25.62,49.97,4.25,0.21,9.76,10.18
6037401901,NA,NA,NA,Los Angeles,3945,0.48,99.52,0,20.46,43.19,4.97,0.41,25.24,5.73
6037401902,22.07,42.26,40-45%,Los Angeles,6223,6.67,65.45,27.88,27.01,58.07,4.63,0.9,6.38,3
6037402001,32.93,63.89,60-65%,Los Angeles,3294,16.06,74.13,9.81,36,28.23,11.23,0,17.88,6.65
6037402002,34.66,67.02,65-70%,Los Angeles,4125,11.61,65.65,22.74,37.53,49.67,5.75,0.36,4.68,2.01
6037402101,58.57,94.81,90-95%,Los Angeles,5558,14.9,76.16,8.94,78.93,4.19,7.66,0.56,7.68,0.97
6037402102,49.38,87.28,85-90%,Los Angeles,4858,15.21,74.48,10.31,66.16,11.18,11.45,1.32,8.03,1.87
6037402200,42.70,78.95,75-80%,Los Angeles,6782,11.44,68.7,19.86,59.82,20.55,8.95,0.09,10.1,0.49
6037402301,46.32,83.62,80-85%,Los Angeles,5464,17.44,74.82,7.74,78.79,7.56,2.36,0.33,9.36,1.61
6037402303,57.22,94.02,90-95%,Los Angeles,4080,13.8,77.35,8.85,78.41,13.82,1.52,1.08,3.8,1.37
6037402304,57.44,94.14,90-95%,Los Angeles,4057,17.4,76.53,6.06,88.64,5,1.63,0.1,4.64,0
6037402402,66.40,98.20,95-100% (highest scores),Los Angeles,6635,12.9,78.31,8.79,67.81,14.15,2.62,0.48,13.46,1.48
6037402403,51.94,89.95,85-90%,Los Angeles,5231,9.69,82.97,7.34,58.42,16.5,4.17,0,16.25,4.66
6037402404,NA,NA,NA,Los Angeles,1862,0,100,0,28.03,32.65,7.41,0,24.06,7.84
6037402405,53.43,91.28,90-95%,Los Angeles,2875,15.03,72.03,12.94,86.89,1.04,9.32,0,1.88,0.87
6037402406,51.51,89.47,85-90%,Los Angeles,5329,13.27,79.58,7.15,85.14,5.95,3.25,0,5.12,0.54
6037402501,50.81,88.65,85-90%,Los Angeles,5591,17.51,74.73,7.76,90.61,3.34,2.54,0,3.15,0.36
6037402502,40.48,75.83,75-80%,Los Angeles,6839,13.79,77.07,9.14,80.38,3.86,3.49,0,11.67,0.6
